(Intercept),annualAI,daysNegNoSnow,PC1_HCN,smd,R^2,adjR^2,F,df,logLik,AICc,delta,weight
0.9830205917701305,-0.2920839309361612,-0.01469785052590838,-0.06140330107563022,NA,0.957118086384774,-10.668885589005397,89.27941928831565,5,25.881742439537778,-35.763484879075556,0,0.526745239912614
0.6941656372084604,NA,-0.014885603362874214,-0.06837795125606554,NA,0.941315410047331,-10.492734967423177,104.26161570256279,4,23.37192622129366,-35.107488806223685,0.6559960728518703,0.379448536713418
0.6778452278712759,NA,-0.0156058804741005,-0.07096635512385911,-8.078508976303491e-4,0.9425815247095586,-10.506848202421056,65.66398845958012,5,23.546414617772438,-31.092829235544876,4.670655643530679,0.0509777464900939
1.0347446323819882,-0.32910902506195544,-0.014007270050818952,-0.058123024095215456,7.478500745498638e-4,0.9579491849806399,-10.678149749779923,62.647067779397524,6,26.038313436398088,-30.743293539462844,5.020191339612712,0.0428035629717478
1.7168573800629996,-0.8730157179514472,-0.009680485414675548,NA,0.006584816492676703,0.8430113829208132,-9.396951246197297,21.479554342353076,5,15.499957183121893,-14.999914366243786,20.76357051283177,1.63248263573915e-05
1.7977247906020288,-1.0071127678058227,NA,NA,0.010499271683428816,0.7486723554538712,-8.345364921646098,19.36265435200459,4,11.735284026223397,-11.834204416083157,23.9292804629924,3.3529215270869e-06
1.5086924419061687,-0.7734205962649786,-0.01670531026671056,NA,NA,0.7278512623583921,-8.113274583751894,17.38399834710913,4,11.098553612206652,-10.560743588049668,25.202741291025887,1.77376011024382e-06
1.4463494657320664,-0.7438562268910063,NA,-0.03161609742366101,0.008275944736090128,0.7882568267688783,-8.786608485599917,14.890809743527951,5,13.106350837407069,-10.212701674814138,25.550783204261418,1.49045388262855e-06
0.628182852942787,NA,NA,-0.057535020120170095,0.006437151600335617,0.6965623099176386,-7.7645002177265585,14.921201823134489,4,10.227933304114275,-8.819502971864914,26.94398190721064,7.42658726052215e-07
0.7621967543845738,NA,-0.018059798447324624,NA,NA,0.5915326080290337,-6.593746170930296,20.27446174453777,3,7.850046885058212,-7.700093770116425,28.06339110895913,4.24338726444043e-07
0.8553276879209365,NA,-0.012365388893840026,NA,0.0054736392297407175,0.6726678002917155,-7.498150858090827,13.357502579314653,4,9.621539131699045,-7.606714627034453,28.156770252041103,4.04981929614958e-07
0.3751290941876069,NA,NA,-0.08429838352289636,NA,0.559397476766455,-6.235539546580399,17.774670506322053,3,7.244198294124093,-6.488396588248186,29.27508829082737,2.31523974213853e-07
0.7866630554161375,NA,NA,NA,0.010468552256035055,0.5118922106776083,-5.706003791288641,14.682189275109273,3,6.425053493663645,-4.85010698732729,30.913377891748265,1.02057729433878e-07
0.7558230224063587,-0.37966049942138064,NA,-0.0749714857420211,NA,0.5861998185326837,-6.5343021777426715,9.208064643546798,4,7.746277952637662,-3.8561922689116876,31.907292610163868,6.20897717227012e-08
1.3785580606648402,-1.000705065954507,NA,NA,NA,0.23378107943869264,-2.6059308928395897,4.271540449228338,3,2.8176001755515907,2.3647996488968186,38.128284527972376,2.76789003551044e-09
0.3751290941876069,NA,NA,NA,NA,0,-0,NA,2,0.6873013515809816,3.54847421991496,39.31195909899051,1.53150057754567e-09
